year,month,ID_2,est,se
2019,01,ALB.11.2_1,0,0
2019,01,ALB.12.2_1,0.022,0.1467567291047928
2019,01,ALB.5.1_1,0,0
2019,01,AUT.2.7_2,0,0
2019,01,AUT.3.1_2,0,0
2019,01,AUT.3.10_2,0,0
2019,01,AUT.3.14_2,0,0
2019,01,AUT.3.3_2,0,0
2019,01,AUT.4.1_2,0,0
2019,01,AUT.4.12_2,0,0
2019,01,AUT.4.15_2,0,0
2019,01,AUT.4.16_2,0,0
2019,01,AUT.4.17_2,0,0
2019,01,AUT.4.2_2,0,0
2019,01,AUT.4.3_2,0,0
2019,01,AUT.4.4_2,0,0
2019,01,AUT.4.6_2,0,0
2019,01,AUT.4.7_2,0.024,0.15312559370479986
2019,01,AUT.4.8_2,0,0
2019,01,AUT.6.12_2,0,0
2019,01,AUT.6.3_2,0,0
2019,01,AUT.6.4_2,0,0
2019,01,AUT.6.7_2,0,0
2019,01,AUT.9.1_2,0,0
2019,01,BEL.2.1_1,0,0
2019,01,BEL.2.2_1,0,0
2019,01,BGR.13.10_1,0.261,0.4393996723622721
2019,01,BGR.15.1_1,0.942,0.2338604085575211
2019,01,BGR.5.1_1,0,0
2019,01,DEU.3.1_1,0,0
2019,01,ESP.1.1_1,0,0
2019,01,ESP.1.2_1,0,0
2019,01,ESP.1.3_1,0,0
2019,01,ESP.1.4_1,0,0
2019,01,ESP.1.5_1,0,0
2019,01,ESP.1.6_1,0.368,0.4825026516080599
2019,01,ESP.1.7_1,0,0
2019,01,ESP.1.8_1,0,0
2019,01,ESP.10.1_1,0,0
2019,01,ESP.10.2_1,0,0
2019,01,ESP.10.3_1,0,0
2019,01,ESP.11.1_1,0,0
2019,01,ESP.11.2_1,0,0
2019,01,ESP.12.1_1,0,0
2019,01,ESP.12.2_1,0,0
2019,01,ESP.12.3_1,0,0
2019,01,ESP.12.4_1,0,0
2019,01,ESP.13.1_1,0,0
2019,01,ESP.14.1_1,0,0
2019,01,ESP.14.2_1,0,0
2019,01,ESP.15.1_1,0,0
2019,01,ESP.16.1_1,0,0
2019,01,ESP.16.2_1,0,0
2019,01,ESP.16.3_1,0,0
2019,01,ESP.17.1_1,0,0
2019,01,ESP.18.1_1,0,0
2019,01,ESP.2.1_1,0,0
2019,01,ESP.2.2_1,0.008,0.08912880535463237
2019,01,ESP.2.3_1,0,0
2019,01,ESP.3.1_1,0,0
2019,01,ESP.4.1_1,0,0
2019,01,ESP.4.2_1,0,0
2019,01,ESP.4.3_1,0,0
2019,01,ESP.4.4_1,0,0
2019,01,ESP.4.5_1,0,0
2019,01,ESP.5.1_1,0,0
2019,01,ESP.5.2_1,0,0
2019,01,ESP.5.3_1,0,0
2019,01,ESP.5.4_1,0,0
2019,01,ESP.5.5_1,0,0
2019,01,ESP.5.6_1,0,0
2019,01,ESP.5.7_1,0,0
2019,01,ESP.5.8_1,0,0
2019,01,ESP.5.9_1,0,0
2019,01,ESP.6.1_1,0,0
2019,01,ESP.6.2_1,0,0
2019,01,ESP.6.3_1,0,0
2019,01,ESP.6.4_1,0,0
2019,01,ESP.7.1_1,0,0
2019,01,ESP.7.2_1,0,0
