NAME_1,year,month,est,se
Abruzzo,2016,11,0,0
Aegean,2016,11,0,0
Andalucía,2016,11,0,0
Apulia,2016,11,0,0
Aragón,2016,11,0,0
Attica,2016,11,0,0
Baranya,2016,11,0.1,0.3001501125938321
Basilicata,2016,11,0,0
Berlin,2016,11,0,0
Borsod-Abaúj-Zemplén,2016,11,0.137,0.3440194025768741
Bucharest,2016,11,0,0
Budapest,2016,11,0.087,0.2819760814510878
Burgas,2016,11,0,0
Calabria,2016,11,0,0
California,2016,11,0,0
Campania,2016,11,0,0
Cantabria,2016,11,0,0
Castilla y León,2016,11,0,0
Castilla-La Mancha,2016,11,0,0
Cataluña,2016,11,0,0
Ceuta y Melilla,2016,11,0,0
Comunidad de Madrid,2016,11,0,0
Comunidad Foral de Navarra,2016,11,0,0
Comunidad Valenciana,2016,11,0,0
Csongrád,2016,11,0,0
Drenthe,2016,11,0,0
Emilia-Romagna,2016,11,0,0
Extremadura,2016,11,0,0
Fier,2016,11,0,0
Flevoland,2016,11,0,0
Friesland,2016,11,0,0
Friuli-Venezia Giulia,2016,11,0,0
Galicia,2016,11,0,0
Gelderland,2016,11,0,0
Grad Beograd,2016,11,0,0
Grad Sofiya,2016,11,0,0
Grad Zagreb,2016,11,0,0
Groningen,2016,11,0,0
Gyor-Moson-Sopron,2016,11,0.13,0.33647171235218754
Heves,2016,11,0.359,0.972408205963018
Hong Kong,2016,11,0,0
IJsselmeer,2016,11,0,0
Islas Baleares,2016,11,0,0
Islas Canarias,2016,11,0,0
Istanbul,2016,11,0,0
Južno-Bački,2016,11,0,0
Kocaeli,2016,11,0,0
Komárom-Esztergom,2016,11,0.124,0.32974646735443996
La Libertad,2016,11,0,0
La Rioja,2016,11,0,0
Lazio,2016,11,0,0
Liguria,2016,11,0,0
Limburg,2016,11,0,0
Lombardia,2016,11,0.064,0.24487540497968344
Macedonia and Thrace,2016,11,0,0
Maharashtra,2016,11,0,0
Marche,2016,11,0,0
Molise,2016,11,0,0
Niederösterreich,2016,11,0,0
Nógrád,2016,11,0.11,0.31304631925323445
Noord-Brabant,2016,11,0,0
Noord-Holland,2016,11,0,0
Normandie,2016,11,0,0
Nouvelle-Aquitaine,2016,11,0,0
Obalno-kraška,2016,11,0,0
Oberösterreich,2016,11,0,0
Occitanie,2016,11,0,0
Osrednjeslovenska,2016,11,0,0
Overijssel,2016,11,0,0
País Vasco,2016,11,0,0
Pest,2016,11,1.229,3.4631013428822057
Piemonte,2016,11,0,0
Principado de Asturias,2016,11,0,0
Prizren,2016,11,0,0
Provence-Alpes-Côte d'Azur,2016,11,0,0
Punjab,2016,11,0,0
Razgrad,2016,11,0,0
Región de Murcia,2016,11,0,0
Sakarya,2016,11,0,0
Sardegna,2016,11,0,0
Sicily,2016,11,0,0
Somogy,2016,11,0,0
Steiermark,2016,11,0,0
Szabolcs-Szatmár-Bereg,2016,11,0.14,0.3471606552023436
Telangana,2016,11,0,0
Tiranë,2016,11,0,0
Tolna,2016,11,0.107,0.30926792049394103
Toscana,2016,11,0,0
Trentino-Alto Adige,2016,11,0.067,0.25014710386805117
Umbria,2016,11,0,0
Utrecht,2016,11,0,0
Valle d'Aosta,2016,11,0,0
Varna,2016,11,0,0
Vas,2016,11,0,0
Veneto,2016,11,0.14600000000000002,0.5188028329206811
Veszprém,2016,11,0.125,0.33088439746304826
Vlaanderen,2016,11,0,0
Wien,2016,11,0,0
Zadarska,2016,11,0,0
Zala,2016,11,0,0
Zeeland,2016,11,0,0
Zeeuwse meren,2016,11,0,0
Zuid Hollandse Meren,2016,11,0,0
Zuid-Holland,2016,11,0,0
