NAME_1,year,month,est,se
Abruzzo,2022,02,0,0
Aegean,2022,02,0,0
Andalucía,2022,02,0,0
Apulia,2022,02,0,0
Aragón,2022,02,0,0
Attica,2022,02,0,0
Baranya,2022,02,0.106,0.30799165387857325
Basilicata,2022,02,0,0
Berlin,2022,02,0,0
Borsod-Abaúj-Zemplén,2022,02,0.135,0.34189456253630574
Bucharest,2022,02,0,0
Budapest,2022,02,0.106,0.30799165387857325
Burgas,2022,02,0,0
Calabria,2022,02,0,0
California,2022,02,0,0
Campania,2022,02,0,0
Cantabria,2022,02,0,0
Castilla y León,2022,02,0,0
Castilla-La Mancha,2022,02,0,0
Cataluña,2022,02,0,0
Ceuta y Melilla,2022,02,0,0
Comunidad de Madrid,2022,02,0,0
Comunidad Foral de Navarra,2022,02,0,0
Comunidad Valenciana,2022,02,0,0
Csongrád,2022,02,0,0
Drenthe,2022,02,0,0
Emilia-Romagna,2022,02,0,0
Extremadura,2022,02,0,0
Fier,2022,02,0,0
Flevoland,2022,02,0,0
Friesland,2022,02,0,0
Friuli-Venezia Giulia,2022,02,0,0
Galicia,2022,02,0,0
Gelderland,2022,02,0,0
Grad Beograd,2022,02,0,0
Grad Sofiya,2022,02,0,0
Grad Zagreb,2022,02,0,0
Groningen,2022,02,0,0
Gyor-Moson-Sopron,2022,02,0.172,0.3775692765024169
Heves,2022,02,0.331,0.9385946542620085
Hong Kong,2022,02,0,0
IJsselmeer,2022,02,0,0
Islas Baleares,2022,02,0,0
Islas Canarias,2022,02,0,0
Istanbul,2022,02,0,0
Južno-Bački,2022,02,0,0
Kocaeli,2022,02,0,0
Komárom-Esztergom,2022,02,0.107,0.30926792049394103
La Libertad,2022,02,0,0
La Rioja,2022,02,0,0
Lazio,2022,02,0,0
Liguria,2022,02,0,0
Limburg,2022,02,0,0
Lombardia,2022,02,0.067,0.25014710386805117
Macedonia and Thrace,2022,02,0,0
Maharashtra,2022,02,0,0
Marche,2022,02,0,0
Molise,2022,02,0,0
Niederösterreich,2022,02,0,0
Nógrád,2022,02,0.145,0.3522770203960217
Noord-Brabant,2022,02,0,0
Noord-Holland,2022,02,0,0
Normandie,2022,02,0,0
Nouvelle-Aquitaine,2022,02,0,0
Obalno-kraška,2022,02,0,0
Oberösterreich,2022,02,0,0
Occitanie,2022,02,0,0
Osrednjeslovenska,2022,02,0,0
Overijssel,2022,02,0,0
País Vasco,2022,02,0,0
Pest,2022,02,1.18,3.395483998399534
Piemonte,2022,02,0,0
Principado de Asturias,2022,02,0,0
Prizren,2022,02,0,0
Provence-Alpes-Côte d'Azur,2022,02,0,0
Punjab,2022,02,0,0
Razgrad,2022,02,0,0
Región de Murcia,2022,02,0,0
Sakarya,2022,02,0,0
Sardegna,2022,02,0,0
Sicily,2022,02,0,0
Somogy,2022,02,0,0
Steiermark,2022,02,0,0
Szabolcs-Szatmár-Bereg,2022,02,0.116,0.3203851535989872
Telangana,2022,02,0,0
Tiranë,2022,02,0,0
Tolna,2022,02,0.101,0.3014795016081357
Toscana,2022,02,0,0
Trentino-Alto Adige,2022,02,0.052,0.22213812222431645
Umbria,2022,02,0,0
Utrecht,2022,02,0,0
Valle d'Aosta,2022,02,0,0
Varna,2022,02,0,0
Vas,2022,02,0,0
Veneto,2022,02,0.193,0.5908250727967314
Veszprém,2022,02,0.109,0.3117951510466707
Vlaanderen,2022,02,0,0
Wien,2022,02,0,0
Zadarska,2022,02,0,0
Zala,2022,02,0,0
Zeeland,2022,02,0,0
Zeeuwse meren,2022,02,0,0
Zuid Hollandse Meren,2022,02,0,0
Zuid-Holland,2022,02,0,0
